Vendor,Plan ,Fixed Price ,Kwh Price,Link
ΔΕΗ,myHomeEnter,5,0.145,https://www.dei.gr/el/gia-to-spiti/revma/myhome-enter/
ΔΕΗ,myHomeEnterTwo,8,0.145,https://www.dei.gr/el/gia-to-spiti/revma/myhome-entertwo/
ΔΕΗ,myHomeOnline,3.5,0.142,https://www.dei.gr/el/gia-to-spiti/revma/myhome-online/
ΖΕΝΙΘ,Power Home Secure 3,9.9,0.106,https://zenith.gr/el/for-the-home/electricity/power-home-secure-2-0/
Φυσικό Αέριο,Home Fixed,9.9,0.139,https://www.fysikoaerioellados.gr/product/reyma-home-fixed/?product-category=household&product-commodity=electric-power
Elpedison,Heatgreen Electricity,12.9,0.088,https://www.elpedison.gr/el/gia-to-spiti/revma/elpedison-heatgreen-electricity_134116/
Elpedison,DriveGreen Electricity 2,9.9,0.0999,https://www.elpedison.gr/el/gia-to-spiti/revma/elpedison-drivegreen-electricity-2_133989/
Elpedison,Reward Zero Fee,0,0.1395,https://www.elpedison.gr/el/gia-to-spiti/revma/elpedison-reward-zero-fee_134062/
Elpedison,Bright Home,12.9,0.1299,https://www.elpedison.gr/el/gia-to-spiti/revma/elpedison-bright-home_134064/
Elpedison,Reward Maximum,12.9,0.088,https://www.elpedison.gr/el/gia-to-spiti/revma/elpedison-reward-maximum_134060/
Elpedison,Reward Ultra,9.9,0.098,https://www.elpedison.gr/el/gia-to-spiti/revma/elpedison-reward-ultra_134129/
nrg,FixedOnTime,9.9,0.1078,https://www.nrg.gr/el/idiotes/revma/nrg-fixed-on-time
nrg,FixedOnTimeAdvanced Promo,9.9,0.099,https://www.nrg.gr/el/idiotes/revma/nrg-fixed-ontime-advanced-promo
nrg,Fixed4u12M,14.9,0.115,https://www.nrg.gr/el/idiotes/revma/nrg-fixed-4U-12M
Volton,Blue12M,9.9,0.1089,https://volton.gr/services/volton-blue-12m/
ΗΡΩΝ,Blue Generous,9.9,0.09845,https://www.heron.gr/energy/electricity/gia-to-spiti/blue-generous-home/
ΗΡΩΝ,Blue Generous Max Home,9.9,0.0945,https://heron.gr/energy/electricity/gia-to-spiti/blue-generous-max-home/
Ελίν,Power On! Blue Now,9.9,0.1099,https://energy.elin.gr/ilektriki-energeia-new/gia-to-spiti-ilektriko-reyma-on/power-on-bluenow12-18-24/
Ελίν,Power On! Blue Now +,15.9,0.0899,https://energy.elin.gr/ilektriki-energeia-new/gia-to-spiti-ilektriko-reyma-on/power-on-blue-12m/
Eunice,Home Fair II,4,0.16,https://eunice-power.gr/hlektrikh-energeia/gia-to-spiti/eunice-home-fair-ii/
Eunice,Home Edge,7,0.098,https://eunice-power.gr/hlektrikh-energeia/gia-to-spiti/eunice-home-edge/
Protergia,Οικιακό Ρεύμα 1 Value Secure 12M,9.9,0.099,https://www.protergia.gr/spiti/oikiako-reuma-proionta/protergia-oikiako-value-secure-12m/
Protergia,Value For Family,9.9,0.141,https://www.protergia.gr/spiti/oikiako-reuma-proionta/protergia-oikiako-value-4family/
Protergia,Protergia Οικιακό Value Safe More,9.9,0.125,https://www.protergia.gr/spiti/oikiako-reuma-proionta/protergia-oikiako-value-safe-more/
